Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,18pF,C_0402_1005Metric,22.733,25.4,90,bottom
C2,18pF,C_0402_1005Metric,14.224,27.686,180,bottom
C3,0.1uF,C_0402_1005Metric,20.32,21.209,0,bottom
C4,0.1uF,C_0402_1005Metric,22.352,16.637,-90,bottom
C5,0.1uF,C_0402_1005Metric,18.779812,12.860455,-90,bottom
C6,0.1uF,C_0402_1005Metric,16.256,13.335,180,bottom
C7,0.1uF,C_0402_1005Metric,13.97,18.283438,180,bottom
C12,0.1uF,C_0402_1005Metric,20.066,12.827,-90,bottom
C13,0.1uF,C_0402_1005Metric,20.292,22.479,0,bottom
C18,1uF,C_0402_1005Metric,29.718,13.335,-90,bottom
C19,1uF,C_0402_1005Metric,26.797,18.034,180,bottom
C22,0.1uF,C_0402_1005Metric,30.283339,20.066,-90,bottom
C23,0.1uF,C_0402_1005Metric,37.084,17.907,180,bottom
C24,0.1uF,C_0402_1005Metric,35.687,19.685,-90,bottom
C25,0.1uF,C_0402_1005Metric,28.702,13.335,-90,bottom
C26,0.1uF,C_0402_1005Metric,27.686,14.986,-90,bottom
C27,0.1uF,C_0402_1005Metric,26.797,16.764,180,bottom
C28,0.1uF,C_0402_1005Metric,36.449,16.383,90,bottom
C29,1uF,C_0402_1005Metric,29.972,17.272,90,bottom
C30,0.1uF,C_0402_1005Metric,33.909,13.843,90,bottom
C31,0.1uF,C_0402_1005Metric,31.623,14.859,0,bottom
C32,0.1uF,C_0402_1005Metric,33.147,20.32,180,bottom
C33,0.1uF,C_0402_1005Metric,34.163,22.86,90,bottom
C34,1uF,C_0402_1005Metric,46.99,8.509,0,bottom
C35,1nF,C_0402_1005Metric,33.683,26.543,0,bottom
D6,SP0504BAJT,SOT-353_SC-70-5,56.261,19.05,0,bottom
D7,SP0504BAJT,SOT-353_SC-70-5,10.922,22.86,-90,bottom
FB5,BLM15AG601SN1D,R_0402_1005Metric,51.689,16.129,0,bottom
FB6,BLM15AG601SN1D,R_0402_1005Metric,51.689,15.113,0,bottom
FB7,BLM15AG601SN1D,R_0402_1005Metric,12.7,26.543,0,bottom
FB8,BLM15AG601SN1D,R_0402_1005Metric,12.7,25.273,0,bottom
Q1,2N7002,SOT-23,45.847,23.114,180,bottom
Q2,2N7002,SOT-23,52.578,10.922,0,bottom
Q3,2N7002,SOT-23,45.847,27.813,0,bottom
Q4,2N7002,SOT-23,55.499,7.366,180,bottom
R1,1M,R_0402_1005Metric,17.399,22.479,180,bottom
R3,56k,R_0402_1005Metric,13.335,17.018,0,bottom
R4,56k,R_0402_1005Metric,16.256,11.938,180,bottom
R6,56k,R_0402_1005Metric,13.97,15.748,180,bottom
R7,10k,R_0402_1005Metric,22.098,13.335,0,bottom
R8,10k,R_0402_1005Metric,24.13,9.398,0,bottom
R9,51,R_0402_1005Metric,32.131,22.352,0,bottom
R11,10k,R_0402_1005Metric,32.131,23.368,0,bottom
R22,56k,R_0402_1005Metric,36.195,28.702,0,bottom
R23,10k,R_0402_1005Metric,45.339,20.701,180,bottom
R24,51,R_0402_1005Metric,33.782,28.702,0,bottom
R25,0,R_0402_1005Metric,43.561,12.446,90,bottom
R26,10k,R_0402_1005Metric,47.879,11.176,90,bottom
R27,10k,R_0402_1005Metric,56.134,10.922,-90,bottom
R28,10k,R_0402_1005Metric,42.545,26.797,180,bottom
R31,10k,R_0402_1005Metric,51.689,6.985,0,bottom
R32,51,R_0402_1005Metric,48.387,28.321,90,bottom
R35,51,R_0402_1005Metric,38.989,26.924,0,bottom
R36,51,R_0402_1005Metric,52.705,27.432,180,bottom
R37,51,R_0402_1005Metric,52.705,28.702,180,bottom
R39,10k,R_0402_1005Metric,42.418,12.446,90,bottom
R40,10k,R_0402_1005Metric,57.531,10.922,-90,bottom
R49,10k,R_0402_1005Metric,8.763,24.384,90,bottom
R50,10k,R_0402_1005Metric,13.589,21.971,180,bottom
U2,IC_USB2412-DZK,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias,18.28,17.28,180,bottom
Y1,24MHz,Crystal_SMD_0603-4Pin_6.0x3.5mm,18.542,26.162,180,bottom
C8,0.1uF,C_0402_1005Metric,9.144,11.938,90,top
C9,10uF,C_0603_1608Metric,6.363,10.414,180,top
C10,10uF,C_0603_1608Metric,6.376,8.89,180,top
C11,10uF,C_0603_1608Metric,11.938,8.89,0,top
C14,0.1uF,C_0402_1005Metric,13.843,6.871,90,top
C15,10uF,C_0603_1608Metric,16.637,7.125,90,top
C16,0.1uF,C_0402_1005Metric,15.113,6.871,90,top
C17,18pF,C_0402_1005Metric,42.47,19.84,-90,top
C20,1uF,C_0402_1005Metric,25.071,6.477,90,top
C21,18pF,C_0402_1005Metric,35.802944,25.764092,90,top
C36,1nF,C_0402_1005Metric,49.276,12.827,180,top
C37,1uF,C_0402_1005Metric,44.704,6.985,90,top
D1,LTST-C190GKT,LED_0603_1608Metric,20.447,8.89,180,top
D2,LTST-C190GKT,LED_0603_1608Metric,41.783,28.067,180,top
D3,LTST-C190KFKT,LED_0603_1608Metric,27.686,26.543,0,top
D4,LTST-C190TBKT,LED_0603_1608Metric,27.686,28.321,0,top
D5,DT1240A-08LP3810,UDFN-9_1.0x3.8mm_P0.5mm,49.956,26.6446,0,top
FB1,"6A, 33Ohm @100MHz",R_1206_3216Metric,11.176,12.954,-90,top
FB2,"6A, 33Ohm @100MHz",R_1206_3216Metric,56.769,12.192,90,top
FB3,BLM15AG601SN1D,R_0402_1005Metric,53.467,19.05,0,top
FB4,BLM15AG601SN1D,R_0402_1005Metric,53.467,21.336,0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,3.5,17.5,-90,top
J4,ARM_SWD_SERIAL_10,PinHeader_2x05_P1.27mm_Vertical_SMD,56.261,27.051,180,top
J5,CONN_USB4155_USB_C_Plug,GCT_USB4155-03-C_REVA,60.5605,17.5,90,top
R2,0,R_0402_1005Metric,2.921,23.876,0,top
R5,12k,R_0402_1005Metric,17.272,21.336,180,top
R10,51,R_0402_1005Metric,9.779,30.226,0,top
R12,27,R_0402_1005Metric,23.114,16.383,90,top
R13,27,R_0402_1005Metric,24.257,16.383,-90,top
R14,10k,R_0402_1005Metric,36.322,11.557,90,top
R15,10k,R_0402_1005Metric,38.354,11.557,90,top
R16,100,R_0402_1005Metric,19.304,10.541,0,top
R17,100,R_0402_1005Metric,39.243,28.067,0,top
R18,10k,R_0402_1005Metric,17.27,19.304,180,top
R19,100,R_0402_1005Metric,30.353,26.543,180,top
R20,10k,R_0402_1005Metric,17.27,20.32,180,top
R21,27,R_0402_1005Metric,30.353,28.321,180,top
R29,100,R_0402_1005Metric,49.784,11.303,90,top
R30,0.02,R_1206_3216Metric,50.927,6.604,0,top
R33,51,R_0402_1005Metric,46.609,20.701,-90,top
R34,51,R_0402_1005Metric,47.752,20.701,90,top
R38,10k,R_0402_1005Metric,40.64,15.621,180,top
R41,51,R_0402_1005Metric,50.673,19.05,0,top
R42,51,R_0402_1005Metric,50.673,21.336,0,top
R47,51,R_0402_1005Metric,16.51,26.924,0,top
R48,51,R_0402_1005Metric,16.51,25.781,0,top
U1,EMI2121MTTAG,WDFN-8-1EP_2x2.2mm_P0.5mm_EP0.80x0.54,10.744756,16.954879,0,top
U3,"3.3V, 300mA",TSOP-5_1.65x3.05mm_P0.95mm,9.21,6.24,-90,top
U4,W25Q32JVZP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,29.422227,7.901242,180,top
U5,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,32.639,17.5,135,top
U6,PAC1921-1,VDFN-10-1EP_3x3mm_P0.5mm_EP1.7x2.4mm,46.99,10.287,180,top
U7,AP22814AW5,SOT-23-5,55.356754,7.912279,180,top
U8,IC_FSUSB42MUX,MSOP-10_3x3mm_P0.5mm,40.513,7.493,180,top
U9,EMI2121MTTAG,WDFN-8-1EP_2x2.2mm_P0.5mm_EP0.80x0.54,56.134182,17.124262,0,top
Y2,Crystal_ECS-120-20-33_12MHz,Crystal_SMD_0603-4Pin_6.0x3.5mm,39.085356,22.726271,135,top
